TC;fγf;fγi;fα'i;fα'fr;Cγ;Cα'
164.5;0.10379511449985185;0.10379511449985185;0.8962048855001481;0;2.5860330800009446;0.0028555512963081785
165;0.10430607223218008;0.10430607223218008;0.89569392776782;0;2.5725669192656393;0.0028186016997541682
165.5;0.10481981464424413;0.10481981464424413;0.8951801853557558;0;2.559163663733833;0.0027822037998320084
166;0.10533635762896866;0.10533635762896866;0.8946636423710314;0;2.545823157125202;0.002746348663744337
166.5;0.10585571715808141;0.10585571715808141;0.8941442828419186;0;2.5325452404534214;0.002711027505348194
167;0.1063779092826848;0.1063779092826848;0.8936220907173152;0;2.5193297521099915;0.0026762316829741554
167.5;0.1069029501338287;0.1069029501338287;0.8930970498661713;0;2.506176527946395;0.0026419526972661523
168;0.1074308559230856;0.1074308559230856;0.8925691440769143;0;2.4930854013545867;0.002608182189039672
168.5;0.10796164294312698;0.10796164294312698;0.8920383570568731;0;2.480056203345865;0.002574911937160832
169;0.10849532756830134;0.10849532756830134;0.8915046724316986;0;2.4670887626281353;0.002542133856445657
169.5;0.1090319262552142;0.1090319262552142;0.8909680737447858;0;2.4541829056815816;0.002509839995580067
170;0.10957145554330934;0.10957145554330934;0.8904285444566906;0;2.441338456832785;0.002478022535061726
170.5;0.11011393205545213;0.11011393205545213;0.8898860679445478;0;2.4285552383272937;0.00244667378516269
171;0.11065937249851411;0.11065937249851411;0.8893406275014859;0;2.415833070400691;0.0024157861839142316
171.5;0.1112077936639595;0.1112077936639595;0.8887922063360405;0;2.4031717713481515;0.0023853522951141595
172;0.11175921242843337;0.11175921242843337;0.8882407875715667;0;2.390571157592545;0.002355364806355301
172.5;0.1123136457543514;0.1123136457543514;0.8876863542456486;0;2.3780310437510845;0.002325816527077388
173;0.11287111069049141;0.11287111069049141;0.8871288893095086;0;2.365551242700547;0.0022967003866416424
173.5;0.11343162437258647;0.11343162437258647;0.8865683756274135;0;2.3531315656411054;0.0022680094324271376
174;0.11399520402392004;0.11399520402392004;0.88600479597608;0;2.340771822158764;0.0022397368279511885
174.5;0.11456186695592233;0.11456186695592233;0.8854381330440777;0;2.3284718202864605;0.002211875851011823
175;0.11513163056876885;0.11513163056876885;0.8848683694312311;0;2.3162313665638146;0.002184419891854107
175.5;0.11570451235198051;0.11570451235198051;0.8842954876480195;0;2.304050266095578;0.002157362451358733
176;0.11628052988502562;0.11628052988502562;0.8837194701149744;0;2.2919283226087948;0.002130697139254434
176.5;0.1168597008379234;0.1168597008379234;0.8831402991620766;0;2.2798653385086904;0.0021044176723529484
177;0.11744204297184971;0.11744204297184971;0.8825579570281503;0;2.267861114933328;0.0020785178728075448
177.5;0.11802757413974412;0.11802757413974412;0.8819724258602559;0;2.255915451807031;0.0020529916663944462
178;0.1186163122869194;0.1186163122869194;0.8813836877130806;0;2.2440281478926067;0.0020278330808173625
178.5;0.1192082754516723;0.1192082754516723;0.8807917245483277;0;2.2321990008424097;0.002003036244034861
179;0.11980348176589653;0.11980348176589653;0.8801965182341035;0;2.2204278072482273;0.0019785953826101437
179.5;0.1204019494556975;0.1204019494556975;0.8795980505443025;0;2.2087143626900088;0.001954504820088208
180;0.12100369684200925;0.12100369684200925;0.8789963031579907;0;2.197058461783557;0.0019307589753859364
180.5;0.12160874234121302;0.12160874234121302;0.878391257658787;0;2.185459898227042;0.0019073523612145229
181;0.12221710446575783;0.12221710446575783;0.8777828955342422;0;2.1739184648464787;0.00188427958252027
