"index" "time.s" "TC1" "dl.um" "T.n" "dl.pct"
4832 194.39978027 299.86407471 26.9516201 300 0.1061112594
4833 195.30065918 300.06680298 26.94632149 300 0.1060582733
4834 196.1998291 300.03109741 26.93837547 300 0.1059788131
4835 197.100708 299.94515991 26.96486473 300 0.1062437057
4836 198.00036621 299.92001343 27.0496273 300 0.1070913314
4837 198.89978027 299.93624878 27.04697609 300 0.1070648193
4838 199.80041503 299.84298706 27.0522747 300 0.1071178054
4839 200.70007324 299.94189453 27.09995461 300 0.1075946045
4840 201.60046386 299.9848938 27.11054802 300 0.1077005386
4841 202.49987793 299.92733765 27.18206596 300 0.108415718
4842 203.40051269 300.03594971 27.15558052 300 0.1081508636
4843 204.30017089 299.94433594 27.18471718 300 0.1084422302
4844 205.20056152 300.02706909 27.21914864 300 0.1087865448
4845 206.09997558 300.07409668 27.30920982 300 0.1096871566
4846 207.00061035 300.0116272 27.28801918 300 0.1094752502
4847 207.90002441 300.11785889 27.26947594 300 0.1092898178
4848 208.80065918 299.99624634 27.33834648 300 0.1099785232
4849 209.70007324 299.96951294 27.35159111 300 0.1101109695
4850 210.600708 300.11630249 27.38072777 300 0.1104023361
4851 211.50012207 300.20861816 27.38602638 300 0.1104553222
4852 212.40075683 300.11380005 27.44959831 300 0.1110910415
4853 213.30017089 300.13973999 27.47608376 300 0.111355896
4854 214.20056152 300.21191406 27.52906227 300 0.1118856811
4855 215.09973144 299.89169312 27.52376366 300 0.111832695
4856 216.00061035 299.91357422 27.56614494 300 0.1122565078
4857 216.90026855 299.95166016 27.60587502 300 0.1126538086
4858 217.79968261 300.16897583 27.53965569 300 0.1119916153
4859 218.70080566 300.02624512 27.63236427 300 0.1129187011
4860 219.60046386 299.93063354 27.62177086 300 0.112812767
4861 220.50012207 300.06518555 27.65885353 300 0.1131835937
4862 221.40075683 300.00192261 27.72242546 300 0.113819313
4863 222.30017089 299.95327759 27.70652962 300 0.1136603546
4864 223.1998291 300.05465698 27.6959362 300 0.1135544204
4865 224.10046386 299.92169189 27.77275276 300 0.114322586
4866 225.00085449 299.88357544 27.7992382 300 0.1145874404
4867 225.90026855 300.12359619 27.82042885 300 0.1147993469
4868 226.79968261 299.88119507 27.77540016 300 0.11434906
4869 227.70031738 300.04983521 27.81513023 300 0.1147463607
4870 228.59973144 299.93875122 27.83897209 300 0.1149847793
4871 229.50036621 300.15597534 27.95551872 300 0.1161502456
4872 230.39978027 299.84713745 27.84427071 300 0.1150377655
4873 231.30065918 300.06109619 27.98995399 300 0.1164945983
4874 232.20007324 299.84057617 27.97406197 300 0.1163356781
4875 233.09973144 300.02142334 28.00319862 300 0.1166270446
4876 234.00036621 299.87634277 27.99525261 300 0.1165475845
4877 234.89978027 300.15518188 28.01114464 300 0.1167065048
4878 235.80041503 300.00765991 28.02703667 300 0.1168654251
4879 236.6998291 299.83007813 28.03763008 300 0.1169713592
4880 237.600708 299.82196045 28.05617332 300 0.1171567916
4881 238.50036621 300.08627319 28.08001137 300 0.1173951721
4882 239.39978027 299.94198608 28.07471657 300 0.1173422241
4883 240.30065918 299.84790039 28.12239265 300 0.1178189849
4884 241.20007324 300.01330566 28.15947533 300 0.1181898117
4885 242.100708 299.84790039 28.1912632 300 0.1185076904
4886 243.00012207 300.01983643 28.21245384 300 0.1187195968
4887 243.89978027 299.96386719 28.28397179 300 0.1194347763
4888 244.80065918 300.06439209 28.2389431 300 0.1189844894
4889 245.70007324 299.95092773 28.28397179 300 0.1194347763
4890 246.59973144 300.03439331 28.23364449 300 0.1189315033
4891 247.50012207 300.16329956 28.32105446 300 0.119805603
4892 248.40051269 300.08059692 28.33164787 300 0.1199115371
4893 249.30041503 299.86901855 28.37932777 300 0.1203883361
4894 250.20007324 300.01168823 28.3952198 300 0.1205472564
4895 251.100708 300.0206604 28.3952198 300 0.1205472564
4896 252.00012207 299.95654297 28.4402523 300 0.1209975814
4897 252.90075683 300.06356812 28.43495369 300 0.1209445953
4898 253.80065918 299.96466064 28.47733498 300 0.1213684082
4899 254.70007324 299.89901733 28.50382042 300 0.1216332626
4900 255.600708 299.89819336 28.47733498 300 0.1213684082
4901 256.50036621 300.07653809 28.49057961 300 0.1215008545
4902 257.40002441 299.96148682 28.47468376 300 0.121341896
4903 258.30065918 299.94525146 28.54885292 300 0.1220835876
4904 259.20007324 300.11468506 28.58328819 300 0.1224279403
4905 260.100708 300.11953735 28.57798958 300 0.1223749542
4906 261.00012207 300.22250366 28.60447502 300 0.1226398086
4907 261.90051269 299.90307617 28.62566566 300 0.122851715
4908 262.80017089 300.00198364 28.61242485 300 0.1227193069
4909 263.6998291 300.0668335 28.62301826 300 0.122825241
4910 264.60046386 300.13253784 28.71837425 300 0.1237788009
4911 265.49987793 300.0668335 28.69453621 300 0.1235404205
4912 266.40026855 300.08062744 28.74221611 300 0.1240172195
4913 267.29992675 299.95663452 28.68129158 300 0.1234079742
4914 268.20056152 299.95904541 28.71307945 300 0.1237258529
4915 269.10021972 300.24359131 28.78194618 300 0.1244145202
4916 269.99987793 300.10824585 28.77664757 300 0.1243615341
4917 270.90051269 300.03527832 28.79519081 300 0.1245469665
4918 271.80017089 300.10171509 28.80313683 300 0.1246264267
4919 272.6998291 299.79446411 28.82432747 300 0.1248383331
4920 273.60046386 300.14468384 28.80578804 300 0.1246529388
4921 274.50012207 299.98181152 28.8905468 300 0.1255005264
4922 275.39978027 300.17230225 28.92498207 300 0.1258448791
4923 276.30065918 300.01416016 28.97266197 300 0.1263216781
4924 277.1998291 300.02716064 28.88260078 300 0.1254210662
4925 278.10046386 300.19091797 28.91438866 300 0.125738945
4926 278.99987793 300.00442505 28.96736336 300 0.126268692
4927 279.90075683 300.08309937 28.96206474 300 0.1262157058
